timestamp,action,symbol,side,amount,price,realized_pnl,reason,balance_after
2025-08-26T18:41:24.850663,open,TRX/USDT,buy,125.751843,0.3348,,open,126.26304902
2025-08-26T18:41:25.844473,close,TRX/USDT,buy,31.437961,0.3361,0.03032349,partial_0.5R,136.82934771
2025-08-26T18:41:26.794062,close,TRX/USDT,buy,31.437961,0.3361,0.03032349,partial_1.0R,147.3956464
2025-08-26T18:41:27.585473,close,TRX/USDT,buy,62.875921,0.3371,0.12349145,TP,168.59111937
2025-08-26T18:41:28.398593,open,TRX/USDT,buy,124.697574,0.338,,open,126.40119158
2025-08-26T18:41:29.361389,close,TRX/USDT,buy,124.697574,0.3373,-0.12939244,opposite_signal,168.46168329
2025-08-26T18:41:30.286233,open,TRX/USDT,sell,124.860423,0.3373,,open,126.30414719
2025-08-26T18:41:31.246667,close,TRX/USDT,sell,124.860423,0.3377,-0.09208456,opposite_signal,168.46951204
2025-08-26T18:41:32.229991,open,TRX/USDT,buy,124.718324,0.3377,,open,126.31001665
2025-08-26T18:41:33.337875,close,TRX/USDT,buy,31.179581,0.3385,0.01440185,partial_0.5R,136.86430482
2025-08-26T18:41:34.313027,close,TRX/USDT,buy,23.384686,0.3391,0.02482518,partial_1.0R,144.79405184
2025-08-26T18:41:35.267119,close,TRX/USDT,buy,70.154057,0.3405,0.17264212,TP,168.68150825
2025-08-26T18:41:36.348784,open,TRX/USDT,sell,124.249785,0.3394,,open,126.46896084
2025-08-26T18:41:37.350499,close,TRX/USDT,sell,31.062446,0.3383,0.02364318,partial_0.5R,136.97738632
2025-08-26T18:41:38.345113,close,TRX/USDT,sell,93.187339,0.3388,0.02431258,opposite_signal,168.54925678
2025-08-26T18:41:39.280360,open,TRX/USDT,buy,124.372238,0.3388,,open,126.36980523
2025-08-26T18:41:40.470889,close,TRX/USDT,buy,124.372238,0.3385,-0.07943033,opposite_signal,168.46980779
2025-08-26T18:41:41.607796,open,TRX/USDT,sell,124.423787,0.3385,,open,126.31023844
2025-08-26T18:41:42.534293,close,TRX/USDT,sell,124.423787,0.3402,-0.25374365,opposite_signal,168.63921078
2025-08-26T18:41:43.385244,open,TRX/USDT,buy,123.926522,0.3402,,open,126.43724819
2025-08-26T18:41:44.479825,close,TRX/USDT,buy,30.981631,0.3412,0.02042619,partial_0.5R,137.00818069
